Gene	M	P.SKAT
2994	TRAV40	1	NA
2995	TRDV2	1	NA
2996	TRDJ4	1	NA
2997	TRAJ52	1	NA
2998	TRAJ37	1	NA
2999	TRAJ36	1	NA
3000	AE000662.92	1	NA
3001	LRP10	1	NA
3002	RBM23	1	NA
3003	HAUS4	1	NA
3004	PSMB11	1	NA
3005	ACIN1	1	NA
3006	C14orf164	1	NA
3007	HOMEZ	1	NA
3008	MYH7	1	NA
3009	DHRS4L2	1	NA
3010	PSME1	1	NA
3011	CHMP4A	1	NA
3012	MDP1	1	NA
3013	GMPR2	1	NA
3014	CIDEB	1	NA
3015	SDR39U1	1	NA
3016	G2E3	1	NA
3017	HECTD1	1	NA
3018	HEATR5A	1	NA
3019	RP11-187E13.2	1	NA
3020	NPAS3	1	NA
3021	MBIP	1	NA
3022	MIPOL1	1	NA
3023	TTC6	1	NA
3024	MIA2	1	NA
3025	CTAGE5	1	NA
3026	FSCB	1	NA
3027	POLE2	1	NA
3028	KLHDC1	1	NA
3029	PSMC6	1	NA
3030	SOCS4	1	NA
3031	TBPL2	1	NA
3032	C14orf37	1	NA
3033	ARID4A	1	NA
3034	DACT1	1	NA
3035	CCDC175	1	NA
3036	PCNXL4	1	NA
3037	C14orf39	1	NA
3038	SIX1	1	NA
3039	TRMT5	1	NA
3040	RP11-47I22.3	1	NA
3041	SNAPC1	1	NA
3042	WDR89	1	NA
3043	MTHFD1	1	NA
3044	HSPA2	1	NA
3045	PPP1R36	1	NA
3046	FAM71D	1	NA
3047	PLEK2	1	NA
3048	PLEKHH1	1	NA
3049	ADAM20	1	NA
3050	HEATR4	1	NA
3051	ACOT6	1	NA
3052	LIN52	1	NA
3053	NPC2	1	NA
3054	LTBP2	1	NA
3055	YLPM1	1	NA
3056	EIF2B2	1	NA
3057	ZC2HC1C	1	NA
3058	TMED10	1	NA
3059	TTLL5	1	NA
3060	GPATCH2L	1	NA
3061	ANGEL1	1	NA
3062	GSTZ1	1	NA
3063	SAMD15	1	NA
3064	C14orf178	1	NA
3065	FLRT2	1	NA
3066	PTPN21	1	NA
3067	GPR68	1	NA
3068	AL133373.1	1	NA
3069	TC2N	1	NA
3070	ATXN3	1	NA
3071	CPSF2	1	NA
3072	ASB2	1	NA
3073	SERPINA12	1	NA
3074	RP11-1070N10.3	1	NA
3075	C14orf132	1	NA
3076	BDKRB1	1	NA
3077	ATG2B	1	NA
3078	RP11-796G6.2	1	NA
3079	MARK3	1	NA
3080	BAG5	1	NA
3081	PPP1R13B	1	NA
3082	TDRD9	1	NA
3083	ASPG	1	NA
3084	ADSSL1	1	NA
3085	TEX22	1	NA
3086	IGHG4	1	NA
3087	IGHJ6	1	NA
3088	IGHV6-1	1	NA
3089	IGHV3-20	1	NA
3090	IGHV3-43	1	NA
3091	IGHV1-45	1	NA
3092	OR4N4	1	NA
3093	GOLGA6L1	1	NA
3094	GOLGA8S	1	NA
3095	OCA2	1	NA
3096	GOLGA8T	1	NA
3097	CHRFAM7A	1	NA
3098	GOLGA8R	1	NA
3099	FAN1	1	NA
3100	GOLGA8N	1	NA
3101	NUTM1	1	NA
3102	FAM98B	1	NA
3103	BUB1B	1	NA
3104	PAK6	1	NA
3105	IVD	1	NA
3106	CHST14	1	NA
3107	C15orf62	1	NA
3108	ZFYVE19	1	NA
3109	PPP1R14D	1	NA
3110	EXD1	1	NA
3111	RPAP1	1	NA
3112	TYRO3	1	NA
3113	PLA2G4E	1	NA
3114	PLA2G4D	1	NA
3115	PLA2G4F	1	NA
3116	GANC	1	NA
3117	UBR1	1	NA
3118	LCMT2	1	NA
3119	MAP1A	1	NA
3120	CKMT1B	1	NA
3121	STRC	1	NA
3122	SERINC4	1	NA
3123	SPG11	1	NA
3124	TRIM69	1	NA
3125	SLC28A2	1	NA
3126	SEMA6D	1	NA
3127	SLC24A5	1	NA
3128	MYEF2	1	NA
3129	SECISBP2L	1	NA
3130	GABPB1	1	NA
3131	USP8	1	NA
3132	AP4E1	1	NA
3133	MAPK6	1	NA
3134	MYO5C	1	NA
3135	WDR72	1	NA
3136	UNC13C	1	NA
3137	RAB27A	1	NA
3138	DYX1C1	1	NA
3139	CGNL1	1	NA
3140	ALDH1A2	1	NA
3141	LIPC	1	NA
3142	GCNT3	1	NA
3143	NARG2	1	NA
3144	VPS13C	1	NA
3145	hsa-mir-7162	1	NA
3146	SNX1	1	NA
3147	PIF1	1	NA
3148	PDCD7	1	NA
3149	CILP	1	NA
3150	DPP8	1	NA
3151	VWA9	1	NA
3152	SLC24A1	1	NA
3153	DENND4A	1	NA
3154	DIS3L	1	NA
3155	RP11-321F6.1	1	NA
3156	IQCH	1	NA
3157	SKOR1	1	NA
3158	CALML4	1	NA
3159	FEM1B	1	NA
3160	ITGA11	1	NA
3161	NOX5	1	NA
3162	PAQR5	1	NA
3163	NR2E3	1	NA
3164	GRAMD2	1	NA
3165	HEXA	1	NA
3166	GOLGA6B	1	NA
3167	CD276	1	NA
3168	STRA6	1	NA
3169	CYP11A1	1	NA
3170	EDC3	1	NA
3171	CYP1A1	1	NA
3172	SCAMP2	1	NA
3173	PPCDC	1	NA
3174	SCAPER	1	NA
3175	RP11-114H24.2	1	NA
3176	SH2D7	1	NA
3177	HYKK	1	NA
3178	CHRNA5	1	NA
3179	ADAMTS7	1	NA
3180	ST20	1	NA
3181	ZFAND6	1	NA
3182	KIAA1199	1	NA
3183	TMC3	1	NA
3184	FAM154B	1	NA
3185	ADAMTSL3	1	NA
3186	ZSCAN2	1	NA
3187	SLC28A1	1	NA
3188	MRPL46	1	NA
3189	FANCI	1	NA
3190	POLG	1	NA
3191	PLIN1	1	NA
3192	PEX11A	1	NA
3193	MESP2	1	NA
3194	TTLL13	1	NA
3195	IQGAP1	1	NA
3196	MAN2A2	1	NA
3197	UNC45A	1	NA
3198	PRC1	1	NA
3199	SPATA8	1	NA
3200	PGPEP1L	1	NA
3201	TTC23	1	NA
3202	LRRK1	1	NA
3203	OR4F15	1	NA
3204	WASH4P	1	NA
3205	MPG	1	NA
3206	HBM	1	NA
3207	JMJD8	1	NA
3208	CHTF18	1	NA
3209	GNG13	1	NA
3210	LMF1	1	NA
3211	C16orf91	1	NA
3212	FAHD1	1	NA
3213	RPL3L	1	NA
3214	NTHL1	1	NA
3215	TSC2	1	NA
3216	MLST8	1	NA
3217	AMDHD2	1	NA
3218	TNFRSF12A	1	NA
3219	IL32	1	NA
3220	OR1F1	1	NA
3221	TIGD7	1	NA
3222	ZNF75A	1	NA
3223	OR2C1	1	NA
3224	ZSCAN32	1	NA
3225	CORO7	1	NA
3226	HMOX2	1	NA
3227	MGRN1	1	NA
3228	C16orf71	1	NA
3229	C16orf89	1	NA
3230	TMEM186	1	NA
3231	ATF7IP2	1	NA
3232	TVP23A	1	NA
3233	PRM2	1	NA
3234	RP11-166B2.1	1	NA
3235	BFAR	1	NA
3236	NPIPA5	1	NA
3237	ABCC1	1	NA
3238	ABCC6	1	NA
3239	TMC7	1	NA
3240	TMC5	1	NA
3241	GDE1	1	NA
3242	KNOP1	1	NA
3243	GPR139	1	NA
3244	ACSM3	1	NA
3245	AC004381.6	1	NA
3246	LYRM1	1	NA
3247	TMEM159	1	NA
3248	OTOA	1	NA
3249	VWA3A	1	NA
3250	EEF2K	1	NA
3251	CDR2	1	NA
3252	HS3ST2	1	NA
3253	EARS2	1	NA
3254	ERN2	1	NA
3255	RBBP6	1	NA
3256	PRRT2	1	NA
3257	MVP	1	NA
3258	INO80E	1	NA
3259	FAM57B	1	NA
3260	ITGAL	1	NA
3261	STX4	1	NA
3262	ZNF646	1	NA
3263	VKORC1	1	NA
3264	PYCARD	1	NA
3265	ITGAM	1	NA
3266	ITGAX	1	NA
3267	ZNF720	1	NA
3268	ZNF267	1	NA
3269	ANKRD26P1	1	NA
3270	ORC6	1	NA
3271	ITFG1	1	NA
3272	LONP2	1	NA
3273	C16orf78	1	NA
3274	ADCY7	1	NA
3275	NOD2	1	NA
3276	TOX3	1	NA
3277	RBL2	1	NA
3278	AMFR	1	NA
3279	RSPRY1	1	NA
3280	KIFC3	1	NA
3281	CNGB1	1	NA
3282	USB1	1	NA
3283	CA7	1	NA
3284	CES2	1	NA
3285	CES3	1	NA
3286	EXOC3L1	1	NA
3287	TMEM208	1	NA
3288	ENKD1	1	NA
3289	TSNAXIP1	1	NA
3290	CTRL	1	NA
3291	DPEP2	1	NA
3292	TANGO6	1	NA
3293	TMED6	1	NA
3294	WWP2	1	NA
3295	COG4	1	NA
3296	NPIPB15	1	NA
3297	KARS	1	NA
3298	CNTNAP4	1	NA
3299	C16orf46	1	NA
3300	SDR42E1	1	NA
3301	MPHOSPH6	1	NA
3302	ATP2C2	1	NA
3303	TLDC1	1	NA
3304	C16orf74	1	NA
3305	MVD	1	NA
3306	CTU2	1	NA
3307	PIEZO1	1	NA
3308	CDH15	1	NA
3309	SPATA33	1	NA
3310	FANCA	1	NA
3311	MC1R	1	NA
3312	AFG3L1P	1	NA
3313	DBNDD1	1	NA
3314	PRDM7	1	NA
3315	FAM101B	1	NA
3316	MYO1C	1	NA
3317	SCARF1	1	NA
3318	TLCD2	1	NA
3319	SERPINF2	1	NA
3320	SMYD4	1	NA
3321	OVCA2	1	NA
3322	SRR	1	NA
3323	RAP1GAP2	1	NA
3324	OR3A1	1	NA
3325	P2RX5	1	NA
3326	ITGAE	1	NA
3327	ATP2A3	1	NA
3328	SPNS3	1	NA
3329	GGT6	1	NA
3330	ALOX15	1	NA
3331	C17orf107	1	NA
3332	CHRNE	1	NA
3333	INCA1	1	NA
3334	USP6	1	NA
3335	NUP88	1	NA
3336	NLRP1	1	NA
3337	FAM64A	1	NA
3338	KIAA0753	1	NA
3339	MED31	1	NA
3340	XAF1	1	NA
3341	FBXO39	1	NA
3342	TEKT1	1	NA
3343	SLC16A13	1	NA
3344	YBX2	1	NA
3345	ACAP1	1	NA
3346	SHBG	1	NA
3347	WRAP53	1	NA
3348	CNTROB	1	NA
3349	GUCY2D	1	NA
3350	ALOX15B	1	NA
3351	ALOX12B	1	NA
3352	RANGRF	1	NA
3353	KRBA2	1	NA
3354	MFSD6L	1	NA
3355	MYH13	1	NA
3356	MYH4	1	NA
3357	ADPRM	1	NA
3358	TMEM220	1	NA
3359	SHISA6	1	NA
3360	DNAH9	1	NA
3361	MYOCD	1	NA
3362	CDRT1	1	NA
3363	ADORA2B	1	NA
3364	TNFRSF13B	1	NA
3365	MPRIP	1	NA
3366	PLD6	1	NA
3367	LRRC48	1	NA
3368	MYO15A	1	NA
3369	MIEF2	1	NA
3370	LGALS9C	1	NA
3371	SLC5A10	1	NA
3372	ALDH3A2	1	NA
3373	CCDC144NL	1	NA
3374	DHRS7B	1	NA
3375	MAP2K3	1	NA
3376	KCNJ12	1	NA
3377	TMEM97	1	NA
3378	TMEM199	1	NA
3379	SARM1	1	NA
3380	SLC46A1	1	NA
3381	SPAG5	1	NA
3382	RAB34	1	NA
3383	PIPOX	1	NA
3384	SLC6A4	1	NA
3385	TBC1D29	1	NA
3386	NF1	1	NA
3387	CCL8	1	NA
3388	ZNF830	1	NA
3389	RAD51D	1	NA
3390	UNC45B	1	NA
3391	SLFN5	1	NA
3392	SLFN12	1	NA
3393	SLFN13	1	NA
3394	SLFN14	1	NA
3395	GAS2L2	1	NA
3396	C17orf66	1	NA
3397	MYO19	1	NA
3398	AATF	1	NA
3399	ACACA	1	NA
3400	GPR179	1	NA
3401	CISD3	1	NA
3402	C17orf98	1	NA
3403	STARD3	1	NA
3404	PNMT	1	NA
3405	GSDMB	1	NA
3406	LRRC3C	1	NA
3407	KRT222	1	NA
3408	KRT26	1	NA
3409	KRT27	1	NA
3410	KRT23	1	NA
3411	KRTAP1-1	1	NA
3412	KRTAP4-8	1	NA
3413	KRTAP4-9	1	NA
3414	KRTAP4-5	1	NA
3415	KRTAP4-3	1	NA
3416	KRT31	1	NA
3417	ACLY	1	NA
3418	DHX58	1	NA
3419	KAT2A	1	NA
3420	NAGLU	1	NA
3421	LINC00671	1	NA
3422	G6PC	1	NA
3423	PTGES3L-AARSD1	1	NA
3424	CD300LG	1	NA
3425	DBF4B	1	NA
3426	CCDC103	1	NA
3427	DCAKD	1	NA
3428	GOSR2	1	NA
3429	ITGB3	1	NA
3430	SCRN2	1	NA
3431	HOXB8	1	NA
3432	SNF8	1	NA
3433	B4GALNT2	1	NA
3434	TAC4	1	NA
3435	CACNA1G	1	NA
3436	ANKRD40	1	NA
3437	SPAG9	1	NA
3438	NME1	1	NA
3439	C17orf67	1	NA
3440	COIL	1	NA
3441	HSF5	1	NA
3442	C17orf47	1	NA
3443	TEX14	1	NA
3444	RAD51C	1	NA
3445	SMG8	1	NA
3446	EFCAB3	1	NA
3447	DDX42	1	NA
3448	CSH2	1	NA
3449	CACNG5	1	NA
3450	ABCA9	1	NA
3451	KIF19	1	NA
3452	GPR142	1	NA
3453	CD300C	1	NA
3454	CD300E	1	NA
3455	SLC9A3R1	1	NA
3456	OTOP2	1	NA
3457	CASKIN2	1	NA
3458	RECQL5	1	NA
3459	FBF1	1	NA
3460	CDK3	1	NA
3461	EXOC7	1	NA
3462	SPHK1	1	NA
3463	MXRA7	1	NA
3464	MFSD11	1	NA
3465	TMC8	1	NA
3466	AFMID	1	NA
3467	DNAH17	1	NA
3468	ENPP7	1	NA
3469	ENDOV	1	NA
3470	CCDC137	1	NA
3471	NOTUM	1	NA
3472	CCDC57	1	NA
3473	SECTM1	1	NA
3474	TEX19	1	NA
3475	FOXK2	1	NA
3476	B3GNTL1	1	NA
3477	METTL4	1	NA
3478	MYOM1	1	NA
3479	LAMA1	1	NA
3480	ANKRD12	1	NA
3481	MPPE1	1	NA
3482	CEP76	1	NA
3483	PSMG2	1	NA
3484	ANKRD30B	1	NA
3485	RBBP8	1	NA
3486	RIOK3	1	NA
3487	OSBPL1A	1	NA
3488	DSC3	1	NA
3489	DSC2	1	NA
3490	DSG1	1	NA
3491	DSG3	1	NA
3492	MEP1B	1	NA
3493	CCDC178	1	NA
3494	ZSCAN30	1	NA
3495	ZNF396	1	NA
3496	FHOD3	1	NA
3497	KIAA1328	1	NA
3498	RIT2	1	NA
3499	EPG5	1	NA
3500	LOXHD1	1	NA
3501	ST8SIA5	1	NA
3502	KATNAL2	1	NA
3503	SKA1	1	NA
3504	MRO	1	NA
3505	ME2	1	NA
3506	STARD6	1	NA
3507	NARS	1	NA
3508	GRP	1	NA
3509	PIGN	1	NA
3510	SERPINB13	1	NA
3511	SERPINB4	1	NA
3512	SERPINB11	1	NA
3513	SERPINB2	1	NA
3514	CDH19	1	NA
3515	TMX3	1	NA
3516	RTTN	1	NA
3517	TIMM21	1	NA
3518	FAM69C	1	NA
3519	ZNF516	1	NA
3520	MBP	1	NA
3521	ATP9B	1	NA
3522	PPAP2C	1	NA
3523	MIER2	1	NA
3524	THEG	1	NA
3525	PRSS57	1	NA
3526	AZU1	1	NA
3527	ABCA7	1	NA
3528	C19orf24	1	NA
3529	ADAMTSL5	1	NA
3530	PLK5	1	NA
3531	JSRP1	1	NA
3532	OAZ1	1	NA
3533	ZNF554	1	NA
3534	ZNF556	1	NA
3535	TLE2	1	NA
3536	MFSD12	1	NA
3537	C19orf71	1	NA
3538	GIPC3	1	NA
3539	TBXA2R	1	NA
3540	APBA3	1	NA
3541	SHD	1	NA
3542	SH3GL1	1	NA
3543	GTF2F1	1	NA
3544	SLC25A41	1	NA
3545	GPR108	1	NA
3546	EMR1	1	NA
3547	PNPLA6	1	NA
3548	C19orf59	1	NA
3549	CLEC4M	1	NA
3550	TGFBR3L	1	NA
3551	FBN3	1	NA
3552	CERS4	1	NA
3553	CD320	1	NA
3554	ANGPTL4	1	NA
3555	OR7G2	1	NA
3556	ZNF561	1	NA
3557	ZNF562	1	NA
3558	RDH8	1	NA
3559	ANGPTL6	1	NA
3560	PPAN	1	NA
3561	DNM2	1	NA
3562	KANK2	1	NA
3563	C19orf80	1	NA
3564	ELAVL3	1	NA
3565	ELOF1	1	NA
3566	ZNF491	1	NA
3567	ZNF440	1	NA
3568	ZNF439	1	NA
3569	ZNF763	1	NA
3570	ZNF788	1	NA
3571	ZNF442	1	NA
3572	WDR83	1	NA
3573	BEST2	1	NA
3574	STX10	1	NA
3575	C19orf67	1	NA
3576	CLEC17A	1	NA
3577	ZNF333	1	NA
3578	EMR2	1	NA
3579	OR7A17	1	NA
3580	OR7C2	1	NA
3581	RASAL3	1	NA
3582	HSH2D	1	NA
3583	MED26	1	NA
3584	NWD1	1	NA
3585	SIN3B	1	NA
3586	MYO9B	1	NA
3587	SLC5A5	1	NA
3588	KIAA1683	1	NA
3589	ISYNA1	1	NA
3590	CRTC1	1	NA
3591	GDF1	1	NA
3592	COPE	1	NA
3593	RFXANK	1	NA
3594	ZNF101	1	NA
3595	ZNF14	1	NA
3596	ZNF506	1	NA
3597	ZNF253	1	NA
3598	ZNF90	1	NA
3599	ZNF486	1	NA
3600	ZNF737	1	NA
3601	ZNF714	1	NA
3602	ZNF708	1	NA
3603	ZNF208	1	NA
3604	ZNF676	1	NA
3605	ZNF98	1	NA
3606	ZNF730	1	NA
3607	ZNF91	1	NA
3608	ZNF681	1	NA
3609	ZNF254	1	NA
3610	CCNE1	1	NA
3611	TDRD12	1	NA
3612	PEPD	1	NA
3613	ZNF302	1	NA
3614	ZNF181	1	NA
3615	GRAMD1A	1	NA
3616	AC020907.1	1	NA
3617	FXYD3	1	NA
3618	LSR	1	NA
3619	HAMP	1	NA
3620	HAUS5	1	NA
3621	IGFLR1	1	NA
3622	LIN37	1	NA
3623	C19orf55	1	NA
3624	SYNE4	1	NA
3625	CAPNS1	1	NA
3626	ZFP14	1	NA
3627	ZNF461	1	NA
3628	ZNF850	1	NA
3629	ZNF790	1	NA
3630	HKR1	1	NA
3631	ZNF793	1	NA
3632	ZNF607	1	NA
3633	KCNK6	1	NA
3634	PSMD8	1	NA
3635	FAM98C	1	NA
3636	RASGRP4	1	NA
3637	EIF3K	1	NA
3638	FBXO27	1	NA
3639	PAPL	1	NA
3640	TIMM50	1	NA
3641	DLL3	1	NA
3642	LGALS14	1	NA
3643	FCGBP	1	NA
3644	ZNF780B	1	NA
3645	ZNF780A	1	NA
3646	PRX	1	NA
3647	LTBP4	1	NA
3648	CYP2A13	1	NA
3649	CYP2F1	1	NA
3650	AXL	1	NA
3651	CEACAM7	1	NA
3652	CEACAM6	1	NA
3653	DMRTC2	1	NA
3654	CEACAM1	1	NA
3655	PSG7	1	NA
3656	PSG5	1	NA
3657	TEX101	1	NA
3658	ETHE1	1	NA
3659	SRRM5	1	NA
3660	ZNF221	1	NA
3661	ZNF222	1	NA
3662	ZNF223	1	NA
3663	ZNF234	1	NA
3664	ZNF112	1	NA
3665	ZNF229	1	NA
3666	ZNF180	1	NA
3667	CEACAM16	1	NA
3668	CBLC	1	NA
3669	GEMIN7	1	NA
3670	CKM	1	NA
3671	KLC3	1	NA
3672	ERCC1	1	NA
3673	EML2	1	NA
3674	GIPR	1	NA
3675	QPCTL	1	NA
3676	PTGIR	1	NA
3677	DHX34	1	NA
3678	PLA2G4C	1	NA
3679	GRWD1	1	NA
3680	RPL18	1	NA
3681	MAMSTR	1	NA
3682	PPP1R15A	1	NA
3683	C19orf73	1	NA
3684	TEAD2	1	NA
3685	GFY	1	NA
3686	IRF3	1	NA
3687	PNKP	1	NA
3688	IL4I1	1	NA
3689	MYBPC2	1	NA
3690	FAM71E1	1	NA
3691	C19orf81	1	NA
3692	KLK10	1	NA
3693	KLK14	1	NA
3694	ETFB	1	NA
3695	CEACAM18	1	NA
3696	ZNF480	1	NA
3697	ZNF610	1	NA
3698	ZNF880	1	NA
3699	ZNF578	1	NA
3700	ZNF701	1	NA
3701	ZNF160	1	NA
3702	ZNF415	1	NA
3703	ZNF347	1	NA
3704	ZNF677	1	NA
3705	BIRC8	1	NA
3706	ZNF525	1	NA
3707	ZNF813	1	NA
3708	CTB-167G5.5	1	NA
3709	DPRX	1	NA
3710	LILRA5	1	NA
3711	LENG9	1	NA
3712	LAIR2	1	NA
3713	LILRA1	1	NA
3714	LILRB4	1	NA
3715	NLRP7	1	NA
3716	GP6	1	NA
3717	RDH13	1	NA
3718	PPP1R12C	1	NA
3719	NLRP5	1	NA
3720	ZSCAN5B	1	NA
3721	ZNF582	1	NA
3722	ZNF471	1	NA
3723	ZNF71	1	NA
3724	ZNF835	1	NA
3725	USP29	1	NA
3726	ZIM3	1	NA
3727	DUXA	1	NA
3728	AURKC	1	NA
3729	ZNF805	1	NA
3730	ZNF543	1	NA
3731	ZNF547	1	NA
3732	ZNF548	1	NA
3733	VN1R1	1	NA
3734	ZNF772	1	NA
3735	ZNF416	1	NA
3736	ZNF530	1	NA
3737	ZNF551	1	NA
3738	ZNF154	1	NA
3739	ZNF586	1	NA
3740	ZNF587	1	NA
3741	ZNF256	1	NA
3742	ZNF329	1	NA
3743	ZNF274	1	NA
3744	ZNF584	1	NA
3745	SLC27A5	1	NA
3746	ZBTB45	1	NA
3747	MZF1	1	NA
3748	C20orf96	1	NA
3749	TRIB3	1	NA
3750	SRXN1	1	NA
3751	C20orf202	1	NA
3752	RAD21L1	1	NA
3753	AL136531.1	1	NA
3754	SIRPG	1	NA
3755	TGM3	1	NA
3756	GNRH2	1	NA
3757	DDRGK1	1	NA
3758	ADAM33	1	NA
3759	SIGLEC1	1	NA
3760	MAVS	1	NA
3761	LRRN4	1	NA
3762	PLCB4	1	NA
3763	ESF1	1	NA
3764	KIF16B	1	NA
3765	OTOR	1	NA
3766	BFSP1	1	NA
3767	MGME1	1	NA
3768	CSRP2BP	1	NA
3769	CST9L	1	NA
3770	CST9	1	NA
3771	VSX1	1	NA
3772	NINL	1	NA
3773	FRG1B	1	NA
3774	DEFB119	1	NA
3775	CCM2L	1	NA
3776	ASXL1	1	NA
3777	C20orf112	1	NA
3778	RP11-410N8.4	1	NA
3779	BPIFB4	1	NA
3780	BPIFA2	1	NA
3781	CDK5RAP1	1	NA
3782	CEP250	1	NA
3783	RBM12	1	NA
3784	SLA2	1	NA
3785	NDRG3	1	NA
3786	DSN1	1	NA
3787	TLDC2	1	NA
3788	TGM2	1	NA
3789	DHX35	1	NA
3790	EMILIN3	1	NA
3791	L3MBTL1	1	NA
3792	JPH2	1	NA
3793	R3HDML	1	NA
3794	STK4	1	NA
3795	SEMG1	1	NA
3796	SLPI	1	NA
3797	MATN4	1	NA
3798	RBPJL	1	NA
3799	WFDC2	1	NA
3800	WFDC8	1	NA
3801	ZSWIM1	1	NA
3802	ZNF334	1	NA
3803	PTPN1	1	NA
3804	BCAS4	1	NA
3805	ADNP	1	NA
3806	KCNG1	1	NA
3807	ZFP64	1	NA
3808	ZBP1	1	NA
3809	ANKRD60	1	NA
3810	GNAS	1	NA
3811	TUBB1	1	NA
3812	EDN3	1	NA
3813	FAM217B	1	NA
3814	LSM14B	1	NA
3815	MTG2	1	NA
3816	SLCO4A1	1	NA
3817	OGFR	1	NA
3818	SLC17A9	1	NA
3819	BIRC7	1	NA
3820	IGHV1OR21-1	1	NA
3821	CYYR1	1	NA
3822	BACH1	1	NA
3823	CLDN17	1	NA
3824	KRTAP24-1	1	NA
3825	KRTAP27-1	1	NA
3826	KRTAP13-2	1	NA
3827	KRTAP13-1	1	NA
3828	KRTAP19-3	1	NA
3829	KRTAP19-6	1	NA
3830	KRTAP22-1	1	NA
3831	AP000244.1	1	NA
3832	URB1	1	NA
3833	C21orf62	1	NA
3834	IFNAR1	1	NA
3835	DNAJC28	1	NA
3836	ITSN1	1	NA
3837	SETD4	1	NA
3838	CBR3	1	NA
3839	DOPEY2	1	NA
3840	CHAF1B	1	NA
3841	TTC3	1	NA
3842	IGSF5	1	NA
3843	FAM3B	1	NA
3844	TMPRSS2	1	NA
3845	UMODL1	1	NA
3846	TMPRSS3	1	NA
3847	UBASH3A	1	NA
3848	CSTB	1	NA
3849	C21orf2	1	NA
3850	TSPEAR	1	NA
3851	KRTAP10-5	1	NA
3852	KRTAP10-8	1	NA
3853	PTTG1IP	1	NA
3854	COL18A1	1	NA
3855	COL6A1	1	NA
3856	YBEY	1	NA
3857	GAB4	1	NA
3858	CECR1	1	NA
3859	SLC25A18	1	NA
3860	PEX26	1	NA
3861	PRODH	1	NA
3862	MRPL40	1	NA
3863	C22orf39	1	NA
3864	TRMT2A	1	NA
3865	SCARF2	1	NA
3866	CCDC116	1	NA
3867	IGLV8-61	1	NA
3868	ZNF280A	1	NA
3869	GGTLC2	1	NA
3870	IGLV3-12	1	NA
3871	IGLV2-11	1	NA
3872	IGLL5	1	NA
3873	RTDR1	1	NA
3874	C22orf15	1	NA
3875	SMARCB1	1	NA
3876	DERL3	1	NA
3877	SLC2A11	1	NA
3878	DDTL	1	NA
3879	GUCD1	1	NA
3880	FAM211B	1	NA
3881	CRYBB3	1	NA
3882	MYO18B	1	NA
3883	CRYBA4	1	NA
3884	CTA-992D9.6	1	NA
3885	MN1	1	NA
3886	HSCB	1	NA
3887	RHBDD3	1	NA
3888	RFPL1	1	NA
3889	ASCC2	1	NA
3890	MTMR3	1	NA
3891	CCDC157	1	NA
3892	RNF215	1	NA
3893	DUSP18	1	NA
3894	SLC5A1	1	NA
3895	ISX	1	NA
3896	HMGXB4	1	NA
3897	APOL5	1	NA
3898	FOXRED2	1	NA
3899	IFT27	1	NA
3900	NCF4	1	NA
3901	TMPRSS6	1	NA
3902	IL2RB	1	NA
3903	MFNG	1	NA
3904	CARD10	1	NA
3905	PLA2G6	1	NA
3906	KDELR3	1	NA
3907	DMC1	1	NA
3908	APOBEC3A	1	NA
3909	APOBEC3B	1	NA
3910	ENTHD1	1	NA
3911	SGSM3	1	NA
3912	NAGA	1	NA
3913	A4GALT	1	NA
3914	EFCAB6	1	NA
3915	PNPLA3	1	NA
3916	KIAA0930	1	NA
3917	PKDREJ	1	NA
3918	CELSR1	1	NA
3919	TBC1D22A	1	NA
3920	DENND6B	1	NA
3921	ADM2	1	NA
3922	NCAPH2	1	NA
3923	ODF3B	1	NA
3924	CPT1B	1	NA
3925	ACR	1	NA
3926	ASMT	1	NA
3927	XG	1	NA
3928	ARSD	1	NA
3929	ARSF	1	NA
3930	CXorf28	1	NA
3931	AC002365.1	1	NA
3932	ATXN3L	1	NA
3933	TRAPPC2	1	NA
3934	ASB11	1	NA
3935	FIGF	1	NA
3936	MAGEB17	1	NA
3937	TXLNG	1	NA
3938	PDHA1	1	NA
3939	CXorf58	1	NA
3940	PDK3	1	NA
3941	DCAF8L2	1	NA
3942	DCAF8L1	1	NA
3943	MAGEB1	1	NA
3944	MAGEB16	1	NA
3945	CHDC2	1	NA
3946	SYTL5	1	NA
3947	KRBOX4	1	NA
3948	RGN	1	NA
3949	ZNF157	1	NA
3950	SSX1	1	NA
3951	GAGE10	1	NA
3952	SHROOM4	1	NA
3953	ITIH6	1	NA
3954	TRO	1	NA
3955	PFKFB1	1	NA
3956	PAGE2	1	NA
3957	AL353698.1	1	NA
3958	FAAH2	1	NA
3959	ZXDA	1	NA
3960	ASB12	1	NA
3961	EFNB1	1	NA
3962	FAM155B	1	NA
3963	DGAT2L6	1	NA
3964	ABCB7	1	NA
3965	MAGEE2	1	NA
3966	TAF9B	1	NA
3967	ZCCHC5	1	NA
3968	TSPAN6	1	NA
3969	ARL13A	1	NA
3970	RPL36A	1	NA
3971	TCEAL6	1	NA
3972	GPRASP1	1	NA
3973	TMEM31	1	NA
3974	H2BFWT	1	NA
3975	H2BFM	1	NA
3976	ZCCHC18	1	NA
3977	RNF128	1	NA
3978	NUP62CL	1	NA
3979	TEX13B	1	NA
3980	VSIG1	1	NA
3981	IRS4	1	NA
3982	IL13RA2	1	NA
3983	RBMXL3	1	NA
3984	LUZP4	1	NA
3985	AGTR2	1	NA
